sqrt_ndof,BrokenGradNorm,ErEstim,Effectivity,Estim_err_C,Estim_err_NC,ErData,Estim_err_without_curl
2.694439e+01,2.442392e-01,3.629881e-01,1.486199e+00,3.607550e-01,4.020182e-02,3.489355e-02,5.112310e-01
5.623166e+01,1.170839e-01,1.615557e-01,1.379828e+00,1.607295e-01,1.631718e-02,8.306531e-03,2.280201e-01
